FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E07000006,2015,Scale,,4439,b. Income Deprivation Domain
E06000014,2015,Rank of extent,,188,a. Index of Multiple Deprivation (IMD)
E07000219,2015,Scale,,9176,c. Employment Deprivation Domain
E07000032,2015,Rank of local concentration,,154,a. Index of Multiple Deprivation (IMD)
E07000096,2015,Rank of scale,,184,c. Employment Deprivation Domain
E09000033,2015,Extent,,0.29,a. Index of Multiple Deprivation (IMD)
E07000043,2015,Rank of extent,,146,a. Index of Multiple Deprivation (IMD)
E06000013,2015,Rank of extent,,114,a. Index of Multiple Deprivation (IMD)
E07000187,2015, Local concentration,,25845,a. Index of Multiple Deprivation (IMD)
E07000187,2015,Scale,,11890,b. Income Deprivation Domain
E07000066,2015,Rank of scale,,95,b. Income Deprivation Domain
E07000187,2015,Rank of extent,,199,a. Index of Multiple Deprivation (IMD)
E07000096,2015, Local concentration,,23514,a. Index of Multiple Deprivation (IMD)
E07000172,2015,Rank of scale,,191,b. Income Deprivation Domain
E07000139,2015,Scale,,4959,c. Employment Deprivation Domain
E07000181,2015,Scale,,3283,c. Employment Deprivation Domain
E07000043,2015, Local concentration,,29378,a. Index of Multiple Deprivation (IMD)
E07000043,2015,Extent,,0.12,a. Index of Multiple Deprivation (IMD)
E07000096,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000235,2015,Scale,,3558,c. Employment Deprivation Domain
E09000033,2015,Rank of scale,,64,b. Income Deprivation Domain
E06000014,2015,Scale,,8905,c. Employment Deprivation Domain
E07000098,2015,Rank of extent,,249,a. Index of Multiple Deprivation (IMD)
E07000154,2015,Rank of local concentration,,76,a. Index of Multiple Deprivation (IMD)
E09000033,2015,Rank of local concentration,,63,a. Index of Multiple Deprivation (IMD)
E07000042,2015,Rank of scale,,269,b. Income Deprivation Domain
E07000219,2015,Extent,,0.19,a. Index of Multiple Deprivation (IMD)
E07000006,2015,Rank of scale,,308,b. Income Deprivation Domain
E09000033,2015,Scale,,16930,c. Employment Deprivation Domain
E07000219,2015,Rank of scale,,130,b. Income Deprivation Domain
E07000139,2015,Rank of scale,,239,b. Income Deprivation Domain
E07000042,2015,Extent,,0.03,a. Index of Multiple Deprivation (IMD)
E07000098,2015,Rank of local concentration,,237,a. Index of Multiple Deprivation (IMD)
E07000187,2015,Rank of scale,,201,b. Income Deprivation Domain
E07000032,2015,Rank of scale,,155,b. Income Deprivation Domain
E07000096,2015,Rank of scale,,169,b. Income Deprivation Domain
E07000066,2015, Local concentration,,31046,a. Index of Multiple Deprivation (IMD)
E09000033,2015,Rank of scale,,72,c. Employment Deprivation Domain
E07000139,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E06000014,2015,Rank of scale,,136,c. Employment Deprivation Domain
E06000013,2015,Rank of local concentration,,83,a. Index of Multiple Deprivation (IMD)
E07000235,2015,Rank of local concentration,,192,a. Index of Multiple Deprivation (IMD)
E07000139,2015,Rank of extent,,287,a. Index of Multiple Deprivation (IMD)
E06000013,2015,Extent,,0.19,a. Index of Multiple Deprivation (IMD)
E07000096,2015,Rank of local concentration,,242,a. Index of Multiple Deprivation (IMD)
E07000235,2015,Rank of scale,,274,b. Income Deprivation Domain
E07000080,2015,Rank of scale,,243,b. Income Deprivation Domain
E07000181,2015,Rank of local concentration,,301,a. Index of Multiple Deprivation (IMD)
E07000172,2015, Local concentration,,26244,a. Index of Multiple Deprivation (IMD)
E07000219,2015, Local concentration,,30592,a. Index of Multiple Deprivation (IMD)
E08000021,2015,Scale,,54583,b. Income Deprivation Domain
E07000096,2015,Rank of extent,,247,a. Index of Multiple Deprivation (IMD)
E07000219,2015,Rank of extent,,112,a. Index of Multiple Deprivation (IMD)
E06000012,2015,Scale,,15140,c. Employment Deprivation Domain
E08000001,2015,Rank of extent,,35,a. Index of Multiple Deprivation (IMD)
E07000140,2015,Rank of local concentration,,232,a. Index of Multiple Deprivation (IMD)
E07000219,2015,Scale,,18631,b. Income Deprivation Domain
E07000219,2015,Rank of scale,,132,c. Employment Deprivation Domain
E06000014,2015, Local concentration,,26548,a. Index of Multiple Deprivation (IMD)
E06000012,2015,Rank of local concentration,,9,a. Index of Multiple Deprivation (IMD)
E06000012,2015,Rank of scale,,84,c. Employment Deprivation Domain
E07000032,2015,Rank of scale,,149,c. Employment Deprivation Domain
E07000043,2015,Scale,,5247,c. Employment Deprivation Domain
E07000140,2015,Rank of scale,,225,b. Income Deprivation Domain
E08000021,2015,Rank of scale,,23,c. Employment Deprivation Domain
E07000096,2015,Scale,,14377,b. Income Deprivation Domain
E06000012,2015,Rank of scale,,82,b. Income Deprivation Domain
E09000033,2015, Local concentration,,31414,a. Index of Multiple Deprivation (IMD)
E06000012,2015, Local concentration,,32621,a. Index of Multiple Deprivation (IMD)
E07000219,2015,Rank of local concentration,,96,a. Index of Multiple Deprivation (IMD)
E07000096,2015,Scale,,6664,c. Employment Deprivation Domain
E06000014,2015,Rank of scale,,141,b. Income Deprivation Domain
E07000080,2015,Scale,,4709,c. Employment Deprivation Domain
E09000033,2015,Scale,,38072,b. Income Deprivation Domain
E07000139,2015, Local concentration,,22177,a. Index of Multiple Deprivation (IMD)
E07000032,2015,Scale,,7860,c. Employment Deprivation Domain
E07000139,2015,Rank of local concentration,,262,a. Index of Multiple Deprivation (IMD)
E06000012,2015,Rank of extent,,33,a. Index of Multiple Deprivation (IMD)
E08000001,2015,Rank of scale,,29,c. Employment Deprivation Domain
E07000235,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E08000001,2015,Scale,,52874,b. Income Deprivation Domain
E07000154,2015,Rank of scale,,86,c. Employment Deprivation Domain
E07000181,2015,Rank of scale,,290,c. Employment Deprivation Domain
E06000012,2015,Extent,,0.38,a. Index of Multiple Deprivation (IMD)
E07000043,2015,Rank of scale,,210,b. Income Deprivation Domain
E07000066,2015,Scale,,28540,b. Income Deprivation Domain
E07000032,2015, Local concentration,,28599,a. Index of Multiple Deprivation (IMD)
E07000066,2015,Rank of scale,,100,c. Employment Deprivation Domain
E07000187,2015,Scale,,5694,c. Employment Deprivation Domain
E07000138,2015,Scale,,8553,c. Employment Deprivation Domain
E06000019,2015,Scale,,9477,c. Employment Deprivation Domain
E06000014,2015,Rank of local concentration,,187,a. Index of Multiple Deprivation (IMD)
E07000172,2015,Rank of scale,,185,c. Employment Deprivation Domain
E09000032,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E07000042,2015, Local concentration,,24644,a. Index of Multiple Deprivation (IMD)
E09000032,2015,Rank of extent,,178,a. Index of Multiple Deprivation (IMD)
E08000022,2015, Local concentration,,30254,a. Index of Multiple Deprivation (IMD)
E07000099,2015,Rank of local concentration,,240,a. Index of Multiple Deprivation (IMD)
E07000079,2015,Scale,,2716,c. Employment Deprivation Domain
E09000032,2015,Rank of scale,,71,c. Employment Deprivation Domain
E07000033,2015,Rank of local concentration,,141,a. Index of Multiple Deprivation (IMD)
E07000079,2015,Rank of scale,,299,c. Employment Deprivation Domain
E07000235,2015,Rank of scale,,282,c. Employment Deprivation Domain
E07000066,2015,Rank of local concentration,,82,a. Index of Multiple Deprivation (IMD)
E09000032,2015, Local concentration,,27082,a. Index of Multiple Deprivation (IMD)
E07000235,2015, Local concentration,,26304,a. Index of Multiple Deprivation (IMD)
E07000066,2015,Extent,,0.25,a. Index of Multiple Deprivation (IMD)
E07000138,2015,Rank of scale,,138,c. Employment Deprivation Domain
E06000019,2015,Rank of local concentration,,174,a. Index of Multiple Deprivation (IMD)
E07000154,2015,Scale,,14827,c. Employment Deprivation Domain
E07000138,2015,Rank of local concentration,,34,a. Index of Multiple Deprivation (IMD)
E06000019,2015,Rank of scale,,129,c. Employment Deprivation Domain
E07000099,2015,Rank of scale,,204,c. Employment Deprivation Domain
E07000099,2015,Scale,,11966,b. Income Deprivation Domain
E07000187,2015,Rank of local concentration,,201,a. Index of Multiple Deprivation (IMD)
E07000067,2015,Extent,,0.03,a. Index of Multiple Deprivation (IMD)
E07000033,2015,Scale,,12546,b. Income Deprivation Domain
E07000138,2015,Rank of scale,,146,b. Income Deprivation Domain
E07000099,2015,Scale,,5725,c. Employment Deprivation Domain
E07000033,2015,Extent,,0.2,a. Index of Multiple Deprivation (IMD)
E07000187,2015,Rank of scale,,207,c. Employment Deprivation Domain
E06000014,2015,Scale,,17152,b. Income Deprivation Domain
E07000005,2015,Rank of scale,,298,b. Income Deprivation Domain
E07000042,2015,Rank of extent,,228,a. Index of Multiple Deprivation (IMD)
E07000099,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E06000019,2015,Rank of extent,,183,a. Index of Multiple Deprivation (IMD)
E06000019,2015, Local concentration,,27523,a. Index of Multiple Deprivation (IMD)
E09000031,2015,Scale,,21482,c. Employment Deprivation Domain
